ID	sample_number	depth	depth_to	CaO (%)	MgO (%)	Al2O3 (%)	SiO2 (%)	delta13C [permil]	delta18O [permil]	Cl (%)	Dry density (kg/m3)	Fe2O3 (%)	FeO (%)	Grain density (kg/m3)	Insoluble Residue (%)	K2O (%)	LOI (%)	MnO (%)	Na2O (%)	P-wave velocity (m/sec in dry sample)	P-wave velocity (m/sec in wet sample)	P2O5 (%)	Porosity (%)	S (%)	SUM (%)	TiO2 (%)	Conochitina cucumis	Cyathochitina jagovalensis	Euconochitina primitiva	Desmochitina minor s.l.	Rhabdochitina gracilis	Lagenochitina esthonica	Cyathochitina calix	Euconochitina aff. symmetrica	Cyathochitina hunderumensis	Lagenochitina tumida s.l.	Desmochitina cocca	Desmochitina erinacea	Desmochitina ovulum	Calpichitina complanata	Cyathochitina cf. varennensis	Conochitina decipiens	Desmochitina piriformis	Cyathochitina campanulaeformis	Belonechitina sp. A	Angochitina sp. B	Desmochitina grandicolla	Desmochitina elongata	Belonechitina crinita	Desmochitina amphorea	Belonechitina micracantha	Belonechitina sp. 1 (prototuberculata)	Pistillachitina pistillifrons	Tanuchitina tallinnensis?	Baltochitina delicata	Belonechitina capitata	Desmochitina rugosa	Laufeldochitina striata	Cyathochitina sebyensis	Conochitina clavaherculi	Pterochitina retracta	Rhabdochitina magna	Belonechitina pellifera	Conochitina aff. dolosa	Cyathochitina kuckersiana	Baltochitina nolvaki	Belonechitina cactacea	Belonechitina synclinalis	Conochitina minnesotensis	Conochitina dolosa	Conochitina tuberculata	Pistillachitina elegans	Laufeldochitina stentor	Conochitina savalensis sp. nov.	Euconochitina conulus	Spinachitina suecica	Eisenackitina rhenana	Conochitina viruana sp. nov.	Desmochitina holosphaerica	Conochitina tigrina	Rhabdochitina sp. 2 (parallela)	Cyathochitina giraffa	Lagenochitina sp. A aff. capax	Armoricochitina granulifera	Lagenochitina dalbyensis	Pistillachitina sp. 1 (ex. gr. differens)	Belonechitina jaanussonii	Belonechitina hirsuta	Desmochitina nodosa	Spinachitina multiradiata	Spinachitina cervicornis	Belonechitina comma	Angochitina multiplex	Clavachitina sp. 1 (oanduensis)	Belonechitina robusta	Cyathochitina patagiata	Rhabdochitina sp. 1 (macilenta)	Spinachitina aff. coronata	Belonechitina micracantha barbata	Belonechitina villosa	Fungochitina spinifera	Cyathochitina angusta	Belonechitina wesenbergensis brevis	Armoricochitina reticulifera	Lagenochitina baltica	Cyathochitina sp. 3 (costellata)	Conochitina incerta	Cyathochitina aff. giraffa	Lagenochitina cylindrica	Angochitina capillata	Lagenochitina prussica	Belonechitina wesenbergensis elongata	Saharochitina fungiformis	Cyathochitina costata	Conochitina vormsiensis nom. nud.	Spinachitina coronata	Tanuchitina bergstroemi	Ancyrochitina ancyrea	Conochitina sp. 3 (lagenoformis)	Conochitina rugata	Tanuchitina anticostiensis	Ancyrochitina laevaensis	Plectochitina nodifera	Plectochitina spongiosa	Belonechitina aspera	Belonechitina postrobusta	Euconochitina electa	Conochitina iklaensis	Ancyrochitina bifurcaspina	Conochitina edjelensis	Ancyrochitina convexa	Conochitina elongata	Conochitina alargada	Rhabdochitina sp. 2 (Nestor et al., 2003)	Conochitina malleus	Belonechitina oeselensis	Ancyrochitina rumbaensis	Conochitina praeproboscifera	Conochitina emmastensis	Eisenackitina dolioliformis	Eisenackitina causiata 	Angochitina hansonica	Belonechitina cavei	Bursachitina conica	Conochitina leviscapulae	Rhabdochitina sp. (Loydell et al., 2005)	Ancyrochitina porrectaspina	Bursachitina nestorae	Conochitina leptosoma	Ancyrochitina mullinsi	Belonechitina meifodensis	Angochitina longicollis	Eisenackitina inanulifera	Conochitina proboscifera	Calpichitina densa	Plectochitina pachyderma	Ancyrochitina vikiensis	Ancyrochitina ansarviensis	Ramochitina ruhnuensis	Plectochitina magna	Margachitina banwyensis	Conochitina visbyensis	Ramochitina angusta	Conochitina acuminata	Anthochitina primula	Conochitina flamma	Margachitina margaritana	Ramochitina nestorae	Calpichitina opaca	Ancyrochitina digitata	Conochitina aff. tuba	Conochitina claviformis	Conochitina mamilla	Conochitina tuba	Clathrochitina clathrata	Conochitina aff. pachycephala	Eisenackitina spongiosa	Conochitina argillophila
102232	102232	14.25		29.715	17.6	1.56	5.13			0.026	2205	0.98	0.11	2594	6.94	0.61	42.37	0.042	0.01	4390	4508	0.0086	15.01	0.416	98.41	0.06	0																																																																																																																																																								
102233	102233	20.9		42.32	5.77	1.6	5.55			0.021	2379	0.6	0.14	2675	7.74	0.73	40.78	0.031	0.02	4250	4263	0.0106	11.07	0.209	97.1636	0.062	0																																																																																																																																																								
102234	102234	23.5		46.335	2.555	1.76	5.51			0.016	2421	0.59	0.17	2653	8.34	0.88	39.96	0.028	0.01		4386	0.01588	8.75	0.208	98.03488	0.071	0																																																																																																																																																								
102235	102235	25.8		38.24	8.165	2.03	6.49			0.025	2385	0.7	0.09	2630	8.66	0.86	40.62	0.032	0.02	4343	4329	0.01493	9.34	0.264	96.52393	0.087	0																																																																																																																																																								
102236	102236	28.3		25.64	13.615	4.49	13.96			0.021	2158	1.255	0.08	2717	19.12	1.62	36.82	0.038	0.03	3166	3010	0.03156	20.56	0.357	97.11756	0.158	0																																																																																																																																																								
102237	102237	31.25		31.325	15.925	1.11	2.82			0.02	2430	0.5	0.04	2681	4.02	0.4	44.16	0.031	0.03	5202	5304	0.01318	9.38	0.152	97.34018	0.046	0																																																																																																																																																								
102238	102238	35.5		29.08	18.31	1.43	4.03			0.053	2333	0.94	0.06	2689	5.5	0.52	43.65	0.049	0.02	4737	4900	0.00773	13.24	0.234	97.86473	0.058	0																																																																																																																																																								
102239	102239	41.4		28.265	15.61	3.14	9.58			0.023	2379	0.83	0.09	2712	11.54	1.09	40.37	0.024	0.03	4272	4419	0.01097	12.28	0.19	98.72897	0.124	0																																																																																																																																																								
102240	102240	46.3		47.475	3.29	1.03	2.8			0.017	2618	1.12	0.05	2701	4.78	0.44	40.5	0.018	0.02	5426	5756	0.00573	3.06	0.532	96.25973	0.046	0																																																																																																																																																								
102241	102241	49.7		42.375	5.525	1.93	5.49			0.018	2547	0.71	0.07	2707	8.1	0.72	40.57	0.018	0.02	4624	4737	0.00803	5.91	0.208	97.04503	0.079	0																																																																																																																																																								
102242	102242	51.85		47.12	2.505	1.2	3.06			0.021	2576	0.61	0.03	2729	4.78	0.48	41.61	0.018	0.01	4660	5136	0.00616	5.59	0.162	97.73816	0.054	0																																																																																																																																																								
102243	102243	54.6		49.405	2.07	0.92	2.94			0.023	2637	0.37	0.17	2680	4.26	0.39	41.8	0.014	0.02	5759	6139	0.00788	1.63	0.107	98.02088	0.039	0																																																																																																																																																								
102244	102244	58.5		40.985	6.995	1.62	5.12			0.052	2574	0.595	0.03	2679	7.18	0.66	41.36	0.019	0.03	5000	5329	0.00901	3.92	0.193	97.31901	0.071	0																																																																																																																																																								
102245	102245	59.4		27.23	14.37	4.36	13.47			0.027	2316	1.18	0.05	2657	15.5	1.42	38.4	0.024	0.04	3682	3697	0.01188	12.82	0.331	100.00888	0.163	0																																																																																																																																																								
102246	102246	63.1		33.515	11.175	2.72	6.71			0.02	2567	2.38	0.01	2773	9.48	0.95	38.77	0.025	0.03	4409	4834	0.01134	7.45	1.181	95.00634	0.1	0																																																																																																																																																								
102247	102247	64.6		27.575	14.27	4.26	12.51			0.022	2393	1.24	0.09	2685	14.88	1.52	36.56	0.027	0.03	3771	3947	0.01258	10.87	0.461	97.60158	0.142	0																																																																																																																																																								
102248	102248	65.55		27.915	18.65	2.06	5.71			0.04	2164	0.86	0.05	2569	6.3	0.7	42.67	0.04	0.02	4327	4348	0.00762	15.75	0.21	98.32662	0.089	0																																																																																																																																																								
102249	102249	67.9		27.04	18.47	2.22	7.13			0.045	2411	0.94	0.11	2689	9.34	0.83	41.57	0.027	0.01	4762	4874	0.009	10.36	0.306	98.68	0.094	0																																																																																																																																																								
102250	102250	69.8		28.03	18.285	1.3	3.31			0.034	2342	0.63	0.14	2580	4.46	0.43	44	0.029	0.01	4750	4842	0.00811	9.22	0.215	94.20911	0.062	0																																																																																																																																																								
102251	102251	70.85		15.85	4.97	12.5	39.77			0.03	2390	3.97	0.62	2736	51.82	4.22	19.27	0.06	0.17	3266	3407	0.05662	12.64	0.386	100.55962	0.543	0																																																																																																																																																								
