ID	sample_number	depth	depth_to	Al2O3 (%)	CaO (%)	Fe2O3 (%)	K2O (%)	MgO (%)	P2O5 (%)	SiO2 (%)	TiO2 (%)	Ancyrochitina ancyrea s.l.	Ancyrochitina rumbaensis	Ancyrochitina vikiensis	Angochitina longicollis	Belonechitina oeselensis	Bursachitina nana	Bursachitina nestorae	Calpichitina densa	Conochitina acuminata	Conochitina aff. tuba	Conochitina claviformis	Conochitina edjelensis	Conochitina electa	Conochitina elongata	Conochitina emmastensis	Conochitina flamma	Conochitina leptosoma	Conochitina mamilla	Conochitina probocifera	Conochitina visbyensis	Eisenackitina causiata	Eisenackitina dolioliformis	Eisenackitina inanulifera	Kalloprion kilmisteri	Kettnerites cf. sisyphi	Kettnerites sp.	Kozlowskiprion	Lanceolatites gracilis	Margachitina margaritana	"Mochtyella ""monodentata"""	Mochtyella cf. trapezoidea	Mochtyella ex gr. fragilis	Mochtyella sp. 3	Mochtyella sp. 5	"Oenonites ""stillapennatus"""	"Oenonites cf. ""stillapennatus"""	Oenonites cf. jennyensis	Oenonites cf. varsoviensis	Oenonites cf. wyszogrodensis	Oenonites eichwaldi	Oenonites jennyensis	Oenonites latus	Oenonites olavi	Oenonites spp.	Pistoprion	Plectochitina pachyderma	Protarabellites staufferi	Ramochitina angusta	Ramochitina ruhnuensis	Rhytiprion magnus	Skalenoprion bugensis	"Tetraprion ""siluricus"""	Tetraprion cf. pozaryskae	Valgaprion	Vistulella	"Xanioprion ""siluricus"""	Xanioprion borealis?
59834	OM4-333	95.93	96.1	0.83	35.57	0.87	0.32	14.71	0.07	2.64	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59833	OM4-332	98.82	98.97	4.37	28.84	1.85	1.64	11.48	0.06	15.66	0.22	392	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	6	0	8	2	5	0	0	7	0	0	0	0	0	0	0	0	15	0	17	0	0	0	0	0	0	0	1	0	0	2
59832	OM4-331	100.88	100.99	3.07	36.72	1.87	1.22	6.66	0.04	11.6	0.16	196	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	36	3	2	1	0	0	8	0	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	1	0	0	4
59831	OM4-330	102.8	103	4.26	34.11	1.68	1.63	5.94	0.03	16.8	0.23	310	0	0	0	0	0	0	2	0	0	46	0	0	0	0	0	0	0	124	0	0	0	0	3	4	0	1	4	16	9	2	2	0	0	8	0	0	0	0	1	0	0	3	64	0	16	1	0	0	0	2	0	0	3	0	0	3
59830	OM4-329	104.75	104.85	2.54	42.51	1.35	1.02	3.01	0.04	10.91	0.14	17	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	1	0	0	1	0	0	1
59829	OM4-328	106.91	107.05	4.39	32.38	1.88	1.77	6.23	0.04	18.74	0.24	29	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	14	161	0	0	0	0	0	1	10	0	3	44	30	2	15	0	0	0	3	0	0	0	3	0	0	0	51	0	1	7	0	0	1	3	0	0	2	0	0	19
59828	OM4-327	108.73	108.87	3.61	37.69	2.17	1.45	4.27	0.05	14.77	0.19	3	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	64	0	0	0	0	0	1	9	1	2	0	7	5	6	0	0	0	9	0	0	6	0	4	0	0	43	5	0	3	0	0	0	0	4	0	5	0	0	8
59827	OM4-326	109.76	109.89	7.82	22.77	3.48	2.79	6.12	0.05	29.81	0.42	8	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	66	0	0	0	0	0	0	3	0	0	0	21	6	17	0	0	0	18	0	0	5	0	1	0	0	35	0	3	18	0	0	0	0	2	0	1	0	1	17
59826	OM4-325	110.73	110.84	6.38	26.21	2.71	2.37	6.06	0.04	26.08	0.35	170	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	22	8	11	0	0	0	18	0	0	6	0	0	0	0	34	1	3	0	0	0	0	2	2	0	2	3	0	15
59825	OM4-324	111.93	112	8.41	18.31	3.7	3.02	7.44	0.05	32.33	0.46	1249	0	0	404	0	0	0	83	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	6	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	1	6	0	4
59824	OM4-323	112.78	112.89	9.32	16.32	3.87	3.28	7.13	0.04	35.04	0.5	31	0	0	18	70	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	3	0	0	8	3	0	1	1	4	3	5	0	0	4	0	0	3	0	0	4	0	35	0	0	0	0	0	0	0	2	0	4	0	0	10
59823	OM4-322	113.78	113.88	8.72	17.86	3.79	3.1	6.77	0.04	33.56	0.47	327	0	0	59	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	3	0	0	17	9	0	4	0	0	0	0	0	0	0	0	3	0	136	12	0	0	0	0	0	0	2	0	9	0	0	5
59822	OM4-321	114.6	114.86	5.32	31.02	2.78	2.03	5.25	0.03	21.02	0.28	67	0	0	198	0	0	0	10	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	8	6	4	2	6	0	0	0	0	0	0	1	1	0	74	9	0	0	0	0	0	1	2	0	2	0	0	5
59821	OM4-320	115.95	116.04	9.01	17.41	4.22	3.2	6.04	0.04	35.47	0.5	168	0	0	29	0	0	0	9	3	0	0	0	0	0	0	2	0	0	4	0	5	0	21	0	1	2	3	0	0	21	5	5	5	12	0	0	0	0	0	0	7	4	0	102	2	0	0	0	0	0	1	2	0	2	0	0	4
59820	OM4-319	117.92	118.05	10.85	14.05	4.44	3.62	6.05	0.08	39.79	0.58	6	0	0	35	0	1	0	1	36	0	0	0	0	0	0	29	5	0	16	0	6	0	19	0	2	1	2	0	0	19	2	3	2	10	0	0	0	0	0	0	3	0	0	79	4	0	0	0	0	0	4	1	0	5	0	0	7
