ID	sample_number	depth	depth_to	Ancyrochitina aff. convexa	Ancyrochitina ancyrea + primitiva	Ancyrochitina ansarviensis	Ancyrochitina mullinsi	Ancyrochitina porrectaspina	Ancyrochitina rumbaensis	Ancyrochitina sp.	Ancyrochitina vikiensis	Angochitina longicollis	"Atraktoprion ""minutus"""	Atraktoprion aff. mirabilis	Atraktoprion sp.	Atraktoprion sp. (non 1)	Atraktoprion sp. 1	Atraktoprion sp. 2 aff. major	Belonechitina oeselensis	Bursachitina nana	Bursachitina nestorae	Bursachitina sp. 1 sensu Mullins	Calpichitina densa	Conochitina accuminata	Conochitina aff. tuba	Conochitina cf. leptosoma	Conochitina claviformis	Conochitina edjelensis	Conochitina electa	Conochitina elongata	Conochitina emmastensis	Conochitina flamma	Conochitina leptosoma	Conochitina mamilla	Conochitina praeprobocifera ?	Conochitina probocifera	Conochitina visbyensis	Dubichaetaspis bergmani	Eisenackitina causiata	Eisenackitina dolioliformis	Eisenackitina inanulifera	Euryprion	Hadimopanella? coronata Van den Boogaard, 1989	Kalloprion kilmisteri	Kalloprion sp.	Kalloprion/Oenonites	Kettnerites cf. sisyphi	Kettnerites sp.	Kozlowskiprion	Kozlowskiprion? sp. n.	Labidognatha X	Lanceolatites gracilis	Leptoprion	Leptoprion/Kalloprion	Luhaprion	Lunoprionella	"Lunoprionella ""lunaris"""	määramatud	Margachitina margaritana	"Mochtyella ""minutidentata"""	"Mochtyella ""monodentata"""	Mochtyella aff. polonica	Mochtyella cf. duplicidentata	Mochtyella cf. trapezoidea	Mochtyella ex gr. fragilis	Mochtyella sp. 3	Mochtyella sp. 5	Mochtyellidae indet.	Mochtyellidae sp. X	"Oenonites ""stillapennatus"""	"Oenonites cf. ""multidentatus"""	"Oenonites cf. ""stillapennatus"""	Oenonites cf. jennyensis	Oenonites cf. varsoviensis	Oenonites cf. wyszogrodensis	Oenonites eichwaldi	Oenonites jennyensis	Oenonites latus	Oenonites olavi	Oenonites sp.	Oenonites sp. 1	Oenonites sp. 2	Oenonites sp. 4	Oenonites sp. inverted cf. Pteropelta	Oenonites sp. n?	Pistoprion	Placognatha x	Plectochitina pachyderma	Prionognatha x	Protarabellites / Ramphoprion	Protarabellites staufferi	Pteropelta?	Rakvereprion?	Ramochitina angusta	Ramochitina ruhnuensis	Ramphoprion sp. n?	Rhytiprion magnus	"scol ""vaalahammas"""	Skalenoprion bugensis	Skalenoprion sp. 2	"Tetraprion ""siluricus"""	"Tetraprion ""siluricus""?"	Tetraprion cf. pozaryskae	Tretoprion	Valgaprion	Vistulella	"Xanioprion ""siluricus"""	Xanioprion borealis?	Xanioprionidae sp. aff. A
59834	OM4-333	95.93	96.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59833	OM4-332	98.82	98.97	0	392	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	1	0	6	3	0	1	1	0	0	0	0	8	0	0	2	5	0	0	3	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
59832	OM4-331	100.88	100.99	0	196	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	3	0	0	0	0	0	0	36	0	3	0	0	2	1	0	0	2	0	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1
59831	OM4-330	102.80	103.00	0	310	0	0	0	0	0	0	0	0	0	5	0	0	13	0	0	0	0	2	0	0	0	46	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	3	2	0	4	0	1	0	0	4	5	0	0	5	0	0	16	0	9	0	0	2	2	0	0	0	0	8	0	0	0	0	0	1	0	0	3	64	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	3	0
59830	OM4-329	104.75	104.85	0	17	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	5	0	25	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	3	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
59829	OM4-328	106.91	107.05	0	29	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	14	0	161	0	1	0	0	0	0	0	0	5	0	1	10	0	0	0	3	5	2	0	8	0	21	44	0	30	0	0	2	15	0	0	0	0	0	0	3	0	0	0	3	0	0	0	51	0	6	0	0	0	0	0	1	0	0	7	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	19	0
59828	OM4-327	108.73	108.87	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	64	0	1	0	0	0	0	0	0	1	1	1	9	1	0	4	2	7	0	0	11	2	9	0	0	7	0	0	5	6	0	0	1	0	0	0	9	0	0	6	0	4	0	0	43	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	8	0
59827	OM4-326	109.76	109.89	0	8	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	66	0	1	0	0	0	0	0	0	0	4	0	3	0	0	0	0	2	1	1	8	0	0	0	0	21	0	0	6	17	0	0	0	0	0	0	18	0	0	5	0	1	0	0	35	0	0	0	0	0	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	17	0
59826	OM4-325	110.73	110.84	0	170	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	4	0	0	7	0	0	0	0	22	0	0	8	11	0	0	11	0	0	0	18	0	0	6	0	0	0	0	34	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	3	0	15	0
59825	OM4-324	111.93	112.00	0	1249	0	0	0	0	0	0	404	0	0	1	2	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	5	0	0	0	0	6	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	4	0
